Plataforma;Nome_Item;Quantidade
PMLZ-1;ALICATE BICO TAM 6;1.0
PMLZ-1;ALICATE DE CORTE TAM 4;1.0
PMLZ-1;ALICATE REBITADOR;1.0
PMLZ-1;CHAVE PHILIPS 3/16x4mm;1.0
PMLZ-1;ALICATE CRIMPADOR RJ11, RJ12 E RJ45;2.0
PMLZ-1;CHAVE TORK T27 EM L;1.0
PMLZ-1;JOGO DE CHAVE CATRACA SOQUETES ESTRIADOS 10mm a 32mm;1.0
PMLZ-1;DECAPADOR CABO COAXIAL;1.0
PMLZ-1;LIMA REDONDA;1.0
PMLZ-1;CHAVE DE FENDA 3/16x5mm;1.0
PMLZ-1;ALICATE DE PRESSÃO 10`;1.0
PMLZ-1;LIMA CHATA;1.0
PMLZ-1;JOGO DE CHAVE DE BORNES 6 PÇS;1.0
PMLZ-1;FERRO DE SOLDA 60W;1.0
PMLZ-1;JOGO DE CHAVE COMBINADA 6 À 22mm;1.0
PMLZ-1;POWER METER TRIBRER BOU350T;1.0
PMLZ-1;ETIQUETADORA METÁLICA;1.0
PMLZ-1;POWER METER AOS200 - M3M8 (MULTIMODO);1.0
PMLZ-1;TESTADOR MULTIFUNCIONAL CFTV SECURE TEST IP R171000;1.0
PMLZ-1;MULTIMEDIDOR DE REDE FLUKE MS2-100;1.0
PMLZ-1;CHAVE DE FENDA ISOLADA 1/4x4mm;1.0
PMLZ-1;CHAVE PHILIPS ISOLADA 3/16x4mm;1.0
PMLZ-1;TESTADOR CATV DIGITAL SATLINK WS6933;1.0
PMLZ-1;TERMÔMETRO INFRAVERMELHO;1.0
PMLZ-1;CHAVE DE BOCA ISOLADA 15;1.0
PMLZ-1;CALIBRADOR SITEMASTER;1.0
PMLZ-1;SITE MASTER S331P 4GHZ;1.0
PMLZ-1;MEGOMETRO MI-2552;1.0
PMLZ-1;IMPEDANCIMETRO GOLDLINE ZM1P;1.0
PMLZ-1;CARGA RESISTIVA 50ohms 100W;1.0
PMLZ-1;MULTÍMETRO DIGITAL;1.0
PMLZ-1;MULTÍMETRO DIGITAL;1.0
PMLZ-1;TELÊMETRO;1.0
PMLZ-1;WATTIMETRO ANALÓGICO E DIGITAL BIRD 43 PRO;1.0
PMLZ-1;ALICATE PRENSA TERMINAL TUBULAR 6 - 16mm²;1.0
PMLZ-1;CHAVE DE BOCA ISOLADA 17;1.0
PMLZ-1;CHAVE DE FENDA 3/16x5mm;1.0
PMLZ-1;CHAVE DE FENDA ISOLADA 1/4x4mm;1.0
PMLZ-1;CHAVE DE FENDA ISOLADA 1/4x8mm;1.0
PMLZ-1;CHAVE DE FENDA ISOLADA 1/8x3mm;1.0
PMLZ-1;CHAVE DE FENDA ISOLADA 3/16x5;1.0
