hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1347823;;2504584;45549;1;;;61740599MV;INS20;MULTÍMETRO DIGITAL;137807;P-09;Instrumentos;Instrumentos;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778099;;;;1;2,98846E+13;;;;07/10/2026;2445;1;1;;;
1349173;;;;;;;;CON006;CON N FEM RETO RG58;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778125;;;;1;2,98846E+13;;;;;2445;1;1;;;
1349175;;;;;;;;CON010;ADAP N RETO 2 FEMEAS;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778129;;;;2;2,98846E+13;;;;;2445;1;1;;;
1349179;;;;;;;;CON016;ADAP BNC 50 T 2 FEM 1 MAC;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778135;;;;2;2,98846E+13;;;;;2445;1;1;;;
1349181;;;;;;;;CON019;CON  N FEM RETO RG213;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778138;;;;2;2,98846E+13;;;;;2445;1;1;;;
1349182;;;;;;;;CON022;ADAP UHF RETO FEMEA x FEMEA;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778141;;;;1;2,98846E+13;;;;;2445;1;1;;;
1349184;;;;;;;;CON026;CON N MAC RETO CELLFLEX 7/8;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778145;;;40061;2;2,98846E+13;INFOTEC;;;;2434;1;1;80,0000000000;80;
1349187;;;;;;;;CON029;CONECTOR RJ45 CAT5E MACHO;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778148;;;1;1;2,98846E+13;INFOTEC;;;;2421;1;1;1,0000000000;1;
1349188;;;;;;;;CON030;CON RJ45 CAT5E MACHO BLINDADO;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778149;;;;1;2,98846E+13;;;;;2445;1;1;;;
1349189;;;;;;;;CON031;CONECTOR RJ45 CAT6 FEMEA;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778150;;;3099;1;2,98846E+13;;;;;2445;1;1;;;
1349190;;;;;;;;CON032;CONECTOR RJ45 CAT6 FEMEA BLINDADO;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778151;;;;1;2,98846E+13;;;;;2445;1;1;;;
1349191;;;;;;;;CON033;CONECTOR RJ45 CAT6 MACHO;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778152;;;;1;2,98846E+13;;;;;2445;1;1;;;
1349192;;;;;;;;CON034;CONECTOR RJ45 CAT6 MACHO BLINDADO;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778153;;;1;1;2,98846E+13;INFOTEC;;;;2421;1;1;1,0000000000;1;
1349194;;;;;;;;CON036;ADAP DB9 MACHO X RJ 45 FEMEA;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778155;;;1;1;2,98846E+13;INFOTEC;;;;2421;1;1;1,0000000000;1;
1349196;;;;;;;;CON038;CON BNC 75 OHMS MACHO RETO RG59;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778157;;;40061;2;2,98846E+13;INFOTEC;;;;2434;1;1;;;
1349197;;;;;;;;CON039;SPLITTER TV (DIVISOR DE SINAL) 1X3;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778158;;;;1;2,98846E+13;;;;;2445;1;1;;;
1349198;;;;;;;;CON040;SPLITTER TV (DIVISOR DE SINAL) 1X4;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778159;;;;1;2,98846E+13;;;;;2445;1;1;;;
1349199;;;;;;;;CON041;FUSIVEL 3 A;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778160;;;;1;2,98846E+13;;;;;2445;1;1;;;
1349200;;;;;;;;CON042;KIT PORCA GAIOLA C/PARAFUSO - 10 Porcas - 10 Parafusos;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778161;;;;1;2,98846E+13;;;;;2445;1;1;;;
1349205;;;;;;;;CON048;CABO CONFIGURAÇÃO USB x RS232;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778167;;;413;1;2,98846E+13;INFOTEC;;;;2430;1;1;37,0000000000;37;
1349208;;;;;;;;CON051;CABO CONFIGURAÇÃO PY2PCB - 4083C;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778170;;;;1;2,98846E+13;;;;;2445;1;1;;;
1349211;;;;;;;;CON054;CABO CONFIGURAÇÃO CISCO A6 - DB9F x RJ45;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778173;;;990;1;2,98846E+13;;;;;2445;1;1;;;
1349212;;;;;;;;CON055;CABO EXTENSOR  DB9F x DB9F;137807;P-09;Consumiveis;Consumiveis;1;0;1;EMB;20/03/2024;692006;un;1;SEM GTIN;18778174;;;1;1;2,98846E+13;INFOTEC;;;;2421;1;1;1,0000000000;1;
