hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1350218;;="";;;;;;"CON019";"CON  N FEM RETO RG213";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778138;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1350231;;="";;;;;;"CON039";"SPLITTER TV (DIVISOR DE SINAL) 1X3";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778158;;;;1;"29884632000813";;;;;2445;1;1;="";;
1350232;;="";;;;;;"CON040";"SPLITTER TV (DIVISOR DE SINAL) 1X4";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778159;;;;1;"29884632000813";;;;;2445;1;1;="";;
1350233;;="";;;;;;"CON041";"FUSIVEL 3 A";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778160;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1350234;;="";;;;;;"CON042";"KIT PORCA GAIOLA C/PARAFUSO - 10 Porcas - 10 Parafusos";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778161;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1350237;;="";;;;;;"CON046";"CABO CONFIGURAÇÃO IMPRESSORA";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778165;;;;1;"29884632000813";;;;;2445;1;1;="";;
1350239;;="";;;;;;"CON048";"CABO CONFIGURAÇÃO USB x RS232";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778167;;;;1;"29884632000813";;;;;2445;1;1;="";;
1350240;;="";;;;;;"CON049";"CABO CONFIGURAÇÃO RS232 - DB9F x RJ45";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778168;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1350241;;="";;;;;;"CON050";"CABO CONFIGURAÇÃO PY2PCB - 4147";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778169;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1350242;;="";;;;;;"CON051";"CABO CONFIGURAÇÃO PY2PCB - 4083C";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778170;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1350243;;="";;;;;;"CON052";"CABO CONFIGURAÇÃO PY2PCB - 1529R";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778171;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1350244;;="";;;;;;"CON053";"CABO CONFIGURAÇÃO CISCO A6 - USB x RJ45";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778172;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1350245;;="";;;;;;"CON054";"CABO CONFIGURAÇÃO CISCO A6 - DB9F x RJ45";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778173;;;;1;"29884632000813";;;;;2445;1;1;="";;
1350246;;="";;;;;;"CON055";"CABO EXTENSOR  DB9F x DB9F";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778174;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1350248;;="";;;;;;"CON057";"CABO NORMATEL PY2PCB AL2011013 - E6";137813;"P-31";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778176;;;;1;"29884632000813";;;;;2445;1;1;="";;
