hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1350212;;="";25412;;;"";22411703;"INS33";"MULTIMEDIDOR DE REDE FLUKE MS2-100";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778112;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1602136;;="";26434;;;"";;"INS36";"CAMERA FOTOGRAFICA NIKON COOLPIX L330";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";30/07/2024;692006;un;1,00;SEM GTIN;18778115;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1602139;;="";;;;;;"CON070";"PILHA ALCALINA AA";137839;"P-76";"Consumiveis";"Consumiveis";9,00000;0,00000;9,00000;"EMB";30/07/2024;692006;un;1,00;SEM GTIN;18778189;;;952433;1;"29884632000813";;;;;2445;9;9;="";;
1884473;;="";45271;;;"";C007BO0000073;"INS32";"POWER METTER AOP100T";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";17/09/2024;692006;un;1,00;SEM GTIN;18778111;;;3001;1;"29884632000813";;;;;2448;1;1;="";;
1884536;;="";46234;;;"";3070300876725;"INS10";"POWER METER TRIBRER BOU350T";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";17/09/2024;692006;un;1,00;SEM GTIN;18778089;;;;1;"29884632000813";;;;;2445;1;1;="";;
1884610;;="";46070;;;"";C007EB0000033;"INS16";"POWER METER AOS200 - M3M8 (MULTIMODO)";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";17/09/2024;692006;un;1,00;SEM GTIN;18778095;;;;1;"29884632000813";;;;;2445;1;1;="";;
1884662;;="";45556;;;;15310115/04747;"INS24";"MULTIMEDIDOR DE REDE NAVITEK NT R153001";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";17/09/2024;692006;un;1,00;SEM GTIN;18778103;;;17984;1;"29884632000813";;;;;2445;1;1;="";;
1884691;;="";46210;;;"";46210;"INS22";"TELÊMETRO";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";17/09/2024;692006;un;1,00;SEM GTIN;18778101;;;6412;1;"29884632000813";;;;05/02/2026;2445;1;1;="";;
1988220;;="";45475;;;"";2024020823111757;"INS28";"TESTADOR MULTIFUNCIONAL CFTV SECURE TEST IP R171000";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";28/10/2024;692006;un;1,00;SEM GTIN;18778107;;;6203;1;"29884632000813";;;;;2445;1;1;="";;
2302156;;="";;;;;;"CON013";"CON N MAC RETO RGC213";137839;"P-76";"Consumiveis";"Consumiveis";44,00000;0,00000;44,00000;"EMB";11/02/2025;692006;un;1,00;SEM GTIN;18778132;;;1;1;"29884632000813";INFOTEC;;;;2421;44;44;="1,0000000000";44;
2302157;;="";;;;;;"CON154";"SOLDA ESTANHO";137839;"P-76";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";11/02/2025;692006;un;1,00;SEM GTIN;18777971;;;178;1;"29884632000813";INFOTEC;;;;2436;1;1;="26,0000000000";26;
2302264;;="";;;;;;"CON151";"PILHA ALCALINA AAA";137839;"P-76";"Consumiveis";"Consumiveis";4,00000;0,00000;4,00000;"EMB";11/02/2025;692006;un;1,00;SEM GTIN;18777968;;;;1;"29884632000813";;;;;2445;4;4;="";;
2600892;;="";45806;;;"";2327879;"INS15";"IDENTIFICADOR/LOCALIZADOR DE CABOS - COBRE";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";13/05/2025;692006;un;1,00;SEM GTIN;18778094;;;;1;"29884632000813";;;;;2445;1;1;="";;
2666156;;="";45557;;;"";15310115/04762;"INS24";"MULTIMEDIDOR DE REDE NAVITEK NT R153001";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";23/05/2025;692006;un;1,00;SEM GTIN;18778103;;;17984;1;"29884632000813";;;;;2445;1;1;="";;
3938719;;="";;;;;;"ESS21";"MOSQUETÃO - IRATA";137839;"P-76";"Essenciais";"Essenciais";30,00000;0,00000;30,00000;"EMB";27/10/2025;692006;UN;1,00;SEM GTIN;18903918;;;798;4;"29884632000813";INFOTEC;;;;2514;30;30;="19,0000000000";570;
3938726;;="";;;;;;"CON071";"BATERIA 9V";137839;"P-76";"Consumiveis";"Consumiveis";2,00000;0,00000;2,00000;"EMB";27/10/2025;692006;un;1,00;SEM GTIN;18778190;;;000064117;3;"29884632000813";;;;;2445;2;2;="";;
4368261;;="2504579";45539;;;"";61740666MV;"INS20";"MULTÍMETRO DIGITAL";137839;"P-76";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";26/12/2025;692006;un;1,00;SEM GTIN;18778099;;;;1;"29884632000813";;;;07/10/2026;2445;1;1;="";;
